Londons population over time (millions),,,
,,,
,Inner London,Outer London,London
Year 1931,4.9,3.2,8.100
Year 1939,4.4,4.2,8.600
Year 1951,3.7,4.5,8.200
Year 1961,3.5,4.5,8.000
Year 1971,3,4.4,7.500
 Year 1981,2.5,4.2,6.700
Year 1991,2.3,4.1,6.400
Year 2001,2.8,4.4,7.200
Year 2011,3.2,4.9,8.200
Year 2016,3.5,5.3,8.800
Year 2021,3.73,5.6,9.300
,,,
,,,
,,,
"Data source: Census data to 2011, Mid-year population estimates for 2015, GLA projections for 2021. ",,,
Chart source: London's Poverty Profile 2017 ,,,
"London's Poverty Profile is created by charitable funder, Trust for London, and the independent think tank, New Policy Institute.",,,
http://www.trustforlondon.org.uk/data,,,
Links: https://data.london.gov.uk/dataset/historic-census-population. ,,,
https://data.london.gov.uk/dataset/2016-based-population-projections. ,,,
